Production,Hour,Month,Day,TotalConsumption,ChargingPower,BatteryEnergy,GridBalance,FromGrid,FeedIn,SelfConsumption,Revenue
0.0,22,4,97,0.9098274020351897,-0.9007291280148378,4.662350900470386,-0.009098274020351904,0.009098274020351904,0.0,0.9007291280148378,0.28823332096474813
0.0,23,4,97,0.8697933884297526,-0.8610954545454551,3.7925575120406334,-0.008697933884297515,0.008697933884297515,0.0,0.8610954545454551,0.27555054545454566
0.0,0,4,98,0.7573039298363984,-0.7497308905380344,3.035253582204235,-0.007573039298363948,0.007573039298363948,0.0,0.7497308905380344,0.23991388497217103
0.0,1,4,98,0.7265896441221221,-0.7193237476809009,2.308663938082113,-0.00726589644122122,0.00726589644122122,0.0,0.7193237476809009,0.23018359925788828
0.0,2,4,98,0.7307393039860617,-0.7234319109462011,1.5779246340960513,-0.00730739303986061,0.00730739303986061,0.0,0.7234319109462011,0.23149821150278435
0.0,3,4,98,0.7451950862989748,-0.737743135435985,0.8327295477970765,-0.007451950862989776,0.007451950862989776,0.0,0.737743135435985,0.23607780333951522
0.0,4,4,98,0.8056712767751741,-0.7976145640074224,0.02705827102190239,-0.008056712767751772,0.008056712767751772,0.0,0.7976145640074224,0.25523666048237514
0.0,5,4,98,0.9409028569346303,-0.026787688311683367,0.0,-0.914115168622947,0.914115168622947,0.0,0.026787688311683322,0.008572060259738664
0.0,6,4,98,0.9959063364269218,-0.0,0.0,-0.9959063364269218,0.9959063364269218,0.0,0.0,0.0
0.0,7,4,98,0.9144996976588673,-0.0,0.0,-0.9144996976588673,0.9144996976588673,0.0,0.0,0.0
1.0803151171097323,8,4,98,0.9527272709356075,0.12758784617412477,0.12631196771238354,0.0,-0.0,0.0,0.9527272709356075,0.3048727266993944
2.165558531291916,9,4,98,0.9878132954229732,1.1777452358689429,1.292279751222637,0.0,-0.0,0.0,0.9878132954229732,0.31610025453535145
3.399958737432695,10,4,98,1.01399937780876,2.3859593596239352,3.654379517250333,0.0,-0.0,0.0,1.01399937780876,0.3244798008988032
5.345539534470746,11,4,98,2.4451897317244273,2.900349802746319,6.525725821969189,0.0,-0.0,0.0,2.4451897317244273,0.7824607141518167
10.775709507586473,12,4,98,2.410176369692186,1.1659335131624349,7.68,7.199599624731852,-0.0,7.199599624731852,2.410176369692186,1.355143967867253
12.490771737418656,13,4,98,2.4402616094892258,0.0,7.68,10.050510127929432,-0.0,10.050510127929432,2.4402616094892258,1.5959800864116294
10.647473318884977,14,4,98,2.4714681860125665,0.0,7.68,8.17600513287241,-0.0,8.17600513287241,2.4714681860125665,1.4539438357999739
12.80758383063689,15,4,98,0.9908249239351086,0.0,7.68,11.816758906701782,-0.0,11.816758906701782,0.9908249239351086,1.2754031229927494
11.615748893210268,16,4,98,1.123019067870988,0.0,7.68,10.49272982533928,-0.0,10.49272982533928,1.123019067870988,1.2103264905537319
10.053703749926807,17,4,98,1.3083006454696602,0.0,7.68,8.745403104457147,-0.0,8.745403104457147,1.3083006454696602,1.127908398321766
3.0990576615082337,18,4,98,1.280197813790353,0.0,7.68,1.8188598477178808,-0.0,1.8188598477178808,1.280197813790353,0.557172834062833
1.256393349733209,19,4,98,1.1721826350518223,0.0,7.68,0.08421071468138663,-0.0,0.08421071468138663,1.1721826350518223,0.3819279321772436
0.0,20,4,98,1.078950729068887,-1.068161221778198,6.601049270931113,-0.010789507290688949,0.010789507290688949,0.0,1.068161221778198,0.34181159096902336
0.0,21,4,98,0.9222593981776026,-0.9130368041958266,5.67878987275351,-0.00922259398177605,0.00922259398177605,0.0,0.9130368041958266,0.29217177734266453
0.0,22,4,98,0.8565216169112229,-0.8479564007421106,4.822268255842287,-0.00856521616911221,0.00856521616911221,0.0,0.8479564007421106,0.27134604823747543
0.0,23,4,98,0.8164876033057857,-0.8083227272727279,4.005780652536501,-0.008164876033057822,0.008164876033057822,0.0,0.8083227272727279,0.25866327272727296
-0.0,0,4,99,0.8122626075223489,-0.8041399814471254,3.193518045014152,-0.008122626075223516,0.008122626075223516,0.0,0.8041399814471254,0.2573247940630801
-0.0,1,4,99,0.7815483218080725,-0.7737328385899918,2.4119697232060795,-0.007815483218080788,0.007815483218080788,0.0,0.7737328385899918,0.24759450834879737
0.0,2,4,99,0.7856979816720121,-0.7778410018552919,1.6262717415340675,-0.007856979816720178,0.007856979816720178,0.0,0.7778410018552919,0.2489091205936934
0.0,3,4,99,0.8001537639849252,-0.792152226345076,0.8261179775491423,-0.008001537639849232,0.008001537639849232,0.0,0.792152226345076,0.2534887124304243
-0.0,4,4,99,0.8606299544611246,-0.8178567977736508,0.0,-0.04277315668747372,0.04277315668747372,0.0,0.8178567977736508,0.2617141752875683
0.0,5,4,99,0.9958615346205808,-0.0,0.0,-0.9958615346205808,0.9958615346205808,0.0,0.0,0.0
0.0,6,4,99,1.0508650141128724,-0.0,0.0,-1.0508650141128724,1.0508650141128724,0.0,0.0,0.0
0.0,7,4,99,0.9694583753448178,-0.0,0.0,-0.9694583753448178,0.9694583753448178,0.0,0.0,0.0
1.1269660556606123,8,4,99,1.007685948621558,0.11928010703905434,0.11808730596866379,0.0,-0.0,0.0,1.007685948621558,0.3224595035588985
1.9931007614226115,9,4,99,1.0427719731089238,0.9503287883136877,1.0589128063992146,0.0,-0.0,0.0,1.0427719731089238,0.3336870313948556
3.5885012458585583,10,4,99,1.0689580554947105,2.519543190363848,3.553260564859424,0.0,-0.0,0.0,1.0689580554947105,0.34206657775830734
4.682293341779999,11,4,99,2.500148409410378,2.1821449323696207,5.713584047905348,0.0,-0.0,0.0,2.500148409410378,0.8000474910113209
4.9387914269981135,12,4,99,2.465135047378137,1.9862787394895471,7.68,0.4873776401304293,-0.0,0.4873776401304293,2.465135047378137,0.8283695417755816
5.690151663367401,13,4,99,2.495220287175176,0.0,7.68,3.1949313761922253,-0.0,3.1949313761922253,2.495220287175176,1.0575794265052458
6.089435261891107,14,4,99,2.526426863698517,0.0,7.68,3.56300839819259,-0.0,3.56300839819259,2.526426863698517,1.0974165774769444
2.367071117532282,15,4,99,1.0457836016210589,0.0,7.68,1.321287515911223,-0.0,1.321287515911223,1.0457836016210589,0.441807170059139
2.3738053537229087,16,4,99,1.1779777455569382,0.0,7.68,1.1958276081659704,-0.0,1.1958276081659704,1.1779777455569382,0.47393449760048045
2.512828798792346,17,4,99,1.3632593231556105,0.0,7.68,1.1495694756367354,-0.0,1.1495694756367354,1.3632593231556105,0.5294730678839347
1.9425014158916167,18,4,99,1.3351564914763034,0.0,7.68,0.6073449244153133,-0.0,0.6073449244153133,1.3351564914763034,0.476505750642499
0.9973149908698735,19,4,99,1.2271413127377726,-0.2275280586492201,7.450173678132101,-0.0022982632186789864,0.0022982632186789864,0.0,1.2248430495190936,0.39194977584610996
0.0,20,4,99,1.1339094067548374,-1.122570312687289,6.316264271377264,-0.011339094067548405,0.011339094067548405,0.0,1.122570312687289,0.3592225000599325
0.0,21,4,99,0.9772180758635531,-0.9674458951049176,5.339046195513711,-0.009772180758635507,0.009772180758635507,0.0,0.9674458951049176,0.3095826864335737
-0.0,22,4,99,0.9114802945971734,-0.9023654916512016,4.427565900916537,-0.009114802945971778,0.009114802945971778,0.0,0.9023654916512016,0.2887569573283845
0.0,23,4,99,0.8714462809917363,-0.8627318181818189,3.556119619924801,-0.00871446280991739,0.00871446280991739,0.0,0.8627318181818189,0.27607418181818205
0.0,0,4,100,0.774659301737225,-0.7669127087198527,2.781460318187576,-0.007746593017372239,0.007746593017372239,0.0,0.7669127087198527,0.24541206679035288
-0.0,1,4,100,0.7439450160229486,-0.7365055658627191,2.0375153021646275,-0.0074394501602295104,0.0074394501602295104,0.0,0.7365055658627191,0.2356817810760701
-0.0,2,4,100,0.7480946758868882,-0.7406137291280193,1.2894206262777392,-0.0074809467588689005,0.0074809467588689005,0.0,0.7406137291280193,0.23699639332096617
0.0,3,4,100,0.7625504581998013,-0.7549249536178032,0.526870168077938,-0.007625504581998066,0.007625504581998066,0.0,0.7549249536178032,0.24157598515769704
0.0,4,4,100,0.8230266486760006,-0.5216014663971585,0.0,-0.3014251822788421,0.3014251822788421,0.0,0.5216014663971585,0.16691246924709074
0.0,5,4,100,0.9582582288354569,-0.0,0.0,-0.9582582288354569,0.9582582288354569,0.0,0.0,0.0
0.0,6,4,100,1.0132617083277484,-0.0,0.0,-1.0132617083277484,1.0132617083277484,0.0,0.0,0.0
0.017487577810517622,7,4,100,0.9318550695596939,-0.0,0.0,-0.9143674917491763,0.9143674917491763,0.0,0.017487577810517574,0.005596024899365623
0.9024399427896872,8,4,100,0.970082642836434,-0.0,0.0,-0.06764270004674677,0.06764270004674677,0.0,0.9024399427896872,0.2887807816926999
-0.0,9,4,100,1.0051686673237996,-0.0,0.0,-1.0051686673237996,1.0051686673237996,0.0,0.0,0.0
